,number,content,content
index:,69,"מי שיעלה בידו אוראנדא של נכסים וכבר שם [תוך] אותן נכסים אנשים מוחזקים בשני חזקה באיזה אורנדא שבתוך אותן נכםים, הדבר מםור ביד ...","מי שיעלה בידו אוראנדא של נכסים וכבר שם [תוך] אותן נכסים אנשים מוחזקים בשני חזקה באיזה אורנדא שבתוך אותן נכםים, הדבר מםור ביד ראש ב''ד שלו, אם יראו שהוא גבר תמים המוחזק באותו אורנדאה, באופן שאין לחוש ולדאוג להיות לשטן ולקוץ למי שהנכסים בידו נגד השר של הנכסים, יגזרו ויצוו הראש ב''ד לכל ידח ממנו נדח, כ^א להניחו על אראנדא שלו בסך הקודם או להוסיף ממה שראוי להוםיף לפי הענין ולפי הזמן, כאשר יורו המורים כן יקום. "
index:,70,"בית של גוי המושכר לישראל ומוחזק בה בשני חזקה ויהודי אחד עומד לקנות אותו לצמיתות, דבר זה ג''כ מסור ביד ראש ב״ד שלו, אם יראו ...","בית של גוי המושכר לישראל ומוחזק בה בשני חזקה ויהודי אחד עומד לקנות אותו לצמיתות, דבר זה ג''כ מסור ביד ראש ב״ד שלו, אם יראו תועלת לטובת [וטובת] כלל הקהלה להבריח ארי משכונת ישראל ע״* קנין לחלומין, יתנו רשות לקנות לצמיתות ולהפסיד חזקת השוכר; עם כל זה אם לא יקנה הקונה להשתמש בו בעצמו כ''א להשכיר לאחרים, הרי השוכר שהי׳ הבית כבר בידו קודם לאחר בשכר הקודם או בשכר שיכירו הב''ד שלו. "
index:,71,חניות [חנויות] השוק יש לו רכ דין חזקת ג׳ שנים. והאיש אשר יקנה הבית יתן עכ''פ לבעל הראשון דמי חזקה שנתן הראשון כשנכנס לתוכו. ...,חניות [חנויות] השוק יש לו רכ דין חזקת ג׳ שנים. והאיש אשר יקנה הבית יתן עכ''פ לבעל הראשון דמי חזקה שנתן הראשון כשנכנס לתוכו. 
index:,72,"אודות האורנדא של מטבע במדינות ליטא. יען שעינינורואות ולא זר שאין חמדינה שקט ושאנן בעניני עסקי מטבעות, לב מלכים והמדינה אין ...","אודות האורנדא של מטבע במדינות ליטא. יען שעינינורואות ולא זר שאין חמדינה שקט ושאנן בעניני עסקי מטבעות, לב מלכים והמדינה אין חקר, וחשש םכנה בדבר מורגש ונראה לחוש, ואין לעמוד [על] עיקר לדעת סוף וגמר הענין המטבעות עת [עד] עת שיחזירו ויקראו וועד שםבוורשא ממלכה ושריו.-עלח ונגמר שאין לכל [לשום איש] אשר בשם ישראל יכונה להכנים ראשז בשום דבר עםק מעסקי מלאכת מטבע לא בהשכרה ולא בשום שירות ולא בשום שותפות עד עת וועד וורשא שיהי׳ על כלל ישראל לטובה, שתהי׳ הארץ אז שקטה ושלוה בעסקי המטבע, לבלתי היות עוד סכנה בדבר; אז רשות לכל אדם לשכור, אמנם בידיעתינו ורשותנו דוקא, דהיינו אם יהי׳ דבר נחוץ לשכור שם בוורשא יקח רשות משלוחי מדינ׳ ליטא מהשתדלני׳ [מהשתדלן ני׳] אשר יהי׳ שם, ואם יעלה בגבול המדינה לשכור יקח רשות מראש דד שלו, ואם ירחיק ממנו הדרך לירד לפני ראש ב״ד שלו ויהי הדבר נחוץ שלא יקדמנו אחר, ישאל עכ'פ א׳ מראשי בתי דינין הסמוך לו. ומי שיעלה בידו האוראנדה של מטבע יתן אל תוך המדינה םך אלף וחמש מאות זהו׳ פו׳. ואף אחר שיעלה ביד יהודי אין לו להתיך כל עיקר שום מטבע ממטבעות המלך יר״ה הן גדולה הן קטנה כיוצא. בזה, כל מטבע קטנה אף של מלך אחר אין לו להתיך גיכ כל עיקר, זולת מטבעות גדולות של מלך אחר הרשות לו להתיך די צורך המלאכה ולא יותר. ואדם אחר לא יתיך שום מטבע בעולם. "" "
index:,73,"על דבר שנמצאו בני אדם ההולכים בדרך לא סלולה להעמיד שר שלו. להשתדל השר לידו מוכסים או טשאפוו׳, זה האיש שר שלו וזה האיש שר שלו,...","על דבר שנמצאו בני אדם ההולכים בדרך לא סלולה להעמיד שר שלו. להשתדל השר לידו מוכסים או טשאפוו׳, זה האיש שר שלו וזה האיש שר שלו, עד שהשרים עומדים מנגד זח לעומת זה ומתגרים זה עם זה, וכמה רעות עולות ומגיעות מזה, דברים שאין להעלות בכתב, - גזרנו אומר בכל חומרות ושמתות על כל איש אשר בשם ישראל יכונה שלא לעשות עוד מעשה כזה להכין עצה ולהעמיד שר על מוכס' או טשאפווי, ואם לא ישמע באלה [ככל אלה] רעה תבא בלבו, שקץ ישוקץ ותעב יתועב כי חרם הוא; וראשי כל קהלה וקהלה יצ''ו תיכף בשמעם על איש כזה המתעסק ועומד בדברים כאלה עם שום שר ירדפוהו עד חרמה ולבטל ולהפר מעשיו בכל מאמצי כחם בעונש הנ''ל. כל זה אסור לו בלי שאלות ורשות ב''ד שלו. "
index:,74,"אודות המבואר למעלה שאין מורשין [מורישין] חזקת האורנדו׳ לבניו אחריו, מלבד האורנדא׳ בישוב שאין שם קהל נקרא עליו, אותו חזקת ...","אודות המבואר למעלה שאין מורשין [מורישין] חזקת האורנדו׳ לבניו אחריו, מלבד האורנדא׳ בישוב שאין שם קהל נקרא עליו, אותו חזקת האורנדא ירשו בניו אחריו, הן שיהי׳ עניים והן שיהיו עשירים. "
index:,75,"מוכס יהודי אשר יעבור על דת השורה בעסק קבלות המכס באיזה כח ועיוות, ד.רשות להזמינו לכל ב''ד שירצה התובע, אף לב''ד שאין יושב ...","מוכס יהודי אשר יעבור על דת השורה בעסק קבלות המכס באיזה כח ועיוות, ד.רשות להזמינו לכל ב''ד שירצה התובע, אף לב''ד שאין יושב תחתיהםז והב''ד אשר הוא יושב תחתיהם מחויבים לקיים הפס''ד אשר יצא עליו. וזה דוקא במדינה כולה חוץ ק''ק [מק״ק] בריסק הוראדנא' ופינםק: המוכסין אשר בג׳ קהלות האלה, אם ירצו הב״ד של הקהלה לדונו, אין להזמינו לקהלה אחרת; אמנם אם לא ירצו הב''ד לדונו אזי הרשות להזמינו לב''ד אחר משני קהלות אחרות. אכן כשיעשה המוכס חםד קבוע ליהודי והוא יעלים ממנו סחורותיו או שקר [ישקר] נגדו ולא יגיד סחורותיו על יושר, הרי מותר להמוכם לילך נגד היהודי בכל אופן ההנהגות עם גוי המעביר מכם, ובלבד שיברר תחלה שהעלים או שיקר נגד סחורותיו. "
index:,76,"איש אשר יהי׳ נדחה מהאורנדא׳ מפני שחייב לאיזה שר או פריץ כיוצא בזה, וגוי ישכור אותה ותעמוד בידו שנה תמימה, אין לאחר להשיג ...","איש אשר יהי׳ נדחה מהאורנדא׳ מפני שחייב לאיזה שר או פריץ כיוצא בזה, וגוי ישכור אותה ותעמוד בידו שנה תמימה, אין לאחר להשיג גבולה [גבולו] לשכור אותה, עד אחר שירד תחלה לפני ראש ב''ד שלו לשאול את פיהם, אם יראו ויבינו וישכילו שאין ערמה ותחבולה בדבר יתנו לו רשות לשכור אותה. "
index:,77,"אם יעלה ויבא במדינה חדר או פריקאמאריק [פריקאמארניק] חדש על פאבי'ר או מכס ישן או ארנדוש [אורענדי], והמוכסין או הםופר הוא ...","אם יעלה ויבא במדינה חדר או פריקאמאריק [פריקאמארניק] חדש על פאבי'ר או מכס ישן או ארנדוש [אורענדי], והמוכסין או הםופר הוא יהודי, הרי שאר יהודים אשר שם יסרישו וינדו אותו מוכסין או סופר מכל ק״*. ואף אם יהי׳ לו חברותה לא יועיל לו התנצלות ופ''פ לתלות סרחונו בגוי; ואף שיהי׳ לו שותפות עם גוי מבלי חיות דבר חדש, עם כל .זה חוב על היהודי להתנות עם הגוי שותפו טרם שנכנס עמו בשותפות ולהשתדל שלא יעלה דבר חדש ליקח יותר מםך [מחוק] הקצוב. "
index:,78,"כלל העולה אודות עניני חלוקות ח ז ק ת א ו ר א נ ד א׳ רבו כמו רבו, ואי אפשר לכוין ולהעלות כל החילוקים על הספר, גם אלה הדברים ...","כלל העולה אודות עניני חלוקות ח ז ק ת א ו ר א נ ד א׳ רבו כמו רבו, ואי אפשר לכוין ולהעלות כל החילוקים על הספר, גם אלה הדברים אשר עלו על מספר] םנקס המדינה יצ'ו יש בו פירושים שונים ויש פנים [פונים] לכאן ולכאן, זיל הכי קמדחי לי׳ וזיל הכי קמדחי לי׳; ע''כ אמרנו כל דין ודין אשר יעלה ויפול באוראנדא׳ מחמת תיקוני פנקס יהא הכל מםור ביד ר״מ של כל קהלה וקהלה עם ראשי קהלה לבאר ולפרש ביאור התקנה ולהראות ולהבין מחמת איזה צד ואופן נעשתה ונתקנה התקנה בתחלה. ולפי צחות דעתם בביאור אופני התקנות יהי׳ כל ריב וכל נגע הן לאיסור והן להיתר. . "
index:,79,"אודות קבצניס העולים משוט בארץ ומהתהלך בה לארכה ולרחבה, מארץ רחוקה הם באים ומתפשטים בארץ ליטא ורוסיא, ודרכיהם דרך לא םלולה ...","אודות קבצניס העולים משוט בארץ ומהתהלך בה לארכה ולרחבה, מארץ רחוקה הם באים ומתפשטים בארץ ליטא ורוסיא, ודרכיהם דרך לא םלולה מטים עקלקלותם בדרכי חושך ואינו [ולא] נוגה להם במעשיהם החשוכים, ומכבידים על המדינה לאכול מטובה ביתר שאת [ועז], ועוד זה מדבר וזה בא והנם למשא עד אשר לא יוכל מלט משא; וביותר אנשים בלתי הגונים מתלבשים בטלית שאינו שלהם ובחלוקה דרבנן לדרוש ברבי׳ ולהורות ולהבדיל ובקרבו ישים אורבו מלא מרמה ותוך שבע תועבות בלבו נהים כריםי׳ לא שוי' כמעשיהם, רבים שהי׳ שנתפשו בבתי זונות ובתי משאות [משתאות] ויתר חילולים רבים שאין הדעת סובל ואין להעלות על הספר. על זאת עלה ונגמר בחרם ושמתא ובקנס גדול ממון הערוך די מםת ידו, שלא ליתן כלום לשום קבצן בעולם זולת הפור לשלחו משם ולהלן; ואין להחזיקו בביתו יותר מעח לעת. גם שלא ליתן לשום אדם לדרוש ברבים, ואם יזיד מצחו לדרוש שלא ברשות יורידוהו בחרפח ובוז, אם לא שיהי׳ בידו ספר אגרת מראש ב''ד, דהיינו יושבי םביבות ק'ק בריסק יתנו עיניהם דוקא אל אגרת ק״ק בריסק, יושבי סביבות לףק הורודנא לאגרת ק''ק הורודנא, יושבי םביבות יךק פינצק לאגרת ק''ק פינצק. ואם יש(איןז) לאל ידיה' לפטור אותו ולשלחו ע״* כפי׳ [כפיות] יד ישראל יגרשהו אותו ע״' גוי] ואין חטא ואשמה בדבר כי כבר הליצו בעדינו חכמינו ז''ל במתק לשונם, באמרם בואו ונחזיק טובה לרמאין. זולת איש אשר [יש] לו גאולי׳ [גואלים] וקרובים שם בארץ ליטא ורוםיא, ידקדקו אחריו כל ראש ב״ד וראש ב״^ ואם הם באמת קרובי׳ שראוי לשקוד על דלתותיהם שיש להם כח וחיל לעמוד לעתות בצרה בעזר הגון וראוי שלא לצאת שכרו בהפסידו, אזי יתנו לו רשות לעבור ולהקדים פני קרובי׳, ואם לאו יםגרו הדלת בו [בעדו] לבלתי תת לו מדרך כף רגל בכל מדינות ליטא ורוסיא. וכל ראש ב''ד מחויבי׳ לשלח תיקון להסביבות שלהם למען ידעו להזהר, ואיש אשר ידמה בנפשו לנהג בו מידת רחמנות לעבור על דברי תיקון זה נחשב לו לעון להענש בענש חרם ושמתא ועוגש ממון זולת שאר עונשין ורדיפות. "
index:,80,"אלה הם הגבולין והסביבוח ק''ק בריסק: מעזריטש, ווארין [וואיין], יאנאווי; ראשס [ראשי], לאמז [לאמאז], בילא; בעשטשץ, וולאוודווי [...","אלה הם הגבולין והסביבוח ק''ק בריסק: מעזריטש, ווארין [וואיין], יאנאווי; ראשס [ראשי], לאמז [לאמאז], בילא; בעשטשץ, וולאוודווי [ולאדווי], םלאוויטץ, קאדנה, וויסאקי, אמסטיבוואה [אמםטיבאווי]; קאברין, הארדעץ, פרושנא; מלטשא. םעלץ, טשערנויציץ [טשערנאווציץ]; קאמניץ, שערשאווי, ראזאניק [ראזאנאי]; סלאנים, דווארץ, נוואהרודק [נאוורדאק]; נעשוויז, םלוצק, מינצםק, מאהלאבוני [מאהלובני]. אורשא; יושבי רום. ואלה הם נגבול] יושבי םביבות ק''ק הוראדנא: אמדור, מיסטעצקי, קוזניצא; נאווידבור [גאווידוואר]. אוסטרין; ראדין, לידא. ' ואלה הם הגבול םביבות ק''ק פינצק: קלעצק, לעכוויטש, חאמסק; ברעהין, דובראוויטש, וויםאצק,; טוראווה; יושבי ני״:. וכל מעשה תוקף פנקס זה נעשה ונגמר יום ב׳ ט׳ אלול שפ״ג לם״^ נאם מאיר בל'א כמ׳ יצחק זצ''ל; ונא׳ יוסף בן יעקב ז''ל; ונא׳ שבתי בלא״א מה״ר שמואל שי׳ איש מרגליות׳; ונא׳ יודא ליב בר אהרן ד'ל; ונא׳ ניםן בלא''א יהודא זצ''ל; ונא׳ משה בן הר׳ הילל זצ''ל. "
index:,81,בעצם היום ב' ט׳ אלול ש״^.. [שפ''ג]] לפ''ק ירדנו לחשבון כלל המדינה שקבלו ושהוציאו מן י׳ תמוז שפ''א כל קהלה וקהלה: קבלת ק''ק ...,"בעצם היום ב' ט׳ אלול ש״^.. [שפ''ג]] לפ''ק ירדנו לחשבון כלל המדינה שקבלו ושהוציאו מן י׳ תמוז שפ''א כל קהלה וקהלה: קבלת ק''ק בריסק שני גלגולת ושני םכומי׳ ופאווראטני משנת שפ״^ ועוד שני סכומים ופאווראטני משנת שפ''ג, ועוד חובות שנשארו חייבי׳ אל תוך המדינה כפי שנרשם בפנקס ישן, הכל בא לחשבון [קבלה] נגד הוצא׳. אחר חשבון כל הוצאו׳ נשאר המדינה יצ''ו חייבי׳ לק''ק בריסק שני אלפים ומאה וארבעי׳ ושלשה שאק לי׳. - בכלל החוב הנ''ל שני מאות וחמשים שאק לי׳ שנתנו המדינה להוצא׳ פסק המלך ירה על עסק משא ומתן של צענק. עוד נכלל חוב הפסק שיצא בלובלין ביריד גראמניץ שעבר מחמת משא ומתן של חילוף עם הריוח. אלו החובות שעל ק''ק בריסק לשלם מחמת המדינה: למינצק מחמת בלבול שלהם-ע'ה שוק, לר':עוזר מבריסק מחמת נקמה-ק׳ [ך] שאק; לאיכל [למיכל] מלאמז-ד׳ שאק. לווילנא נוםף על מה שנתקבלבחשבון מחמת בלבולי' - ג׳ שאק, לשערשאווי מחמת בלבולי׳ ב''ה [בהכ''נ] -ך שאק. לר׳ זלמן שמש שכירות משנת ש^ג-כ''ד שוק. לקאכרין מחמת נקמה-י׳ שוק [ו׳ שאק].-לפרעון החוב של שני אלפי׳ קמ''ג שאק הנ''ל עלה ונגמר לגבות במדינה תכף ומיד שלש'ה סכומי׳ ומה שלא יספיק לתשלום החוב הנ''ל ישלימו המדינה תכף אחר גבי' הג׳ סכומי' ולעשות אז ע״' [עוד] גבי׳ לתשלום פרעון החוב. לפינצק נשאר המדינה חייב שני מאות ושבעה עשר שוק לי׳, עם הק''ס שאק שנתנו המדינה לנקמת רוצח. ע''ז יש לנכ׳ להם מחמת ג׳ םבומי'הנ''ל ק''ך שאק, ועוד יש להם לקבל אצל ק''ק הוראדנ׳ חמשים ושנים שאק; נמצא נשאר המדינה חייב לה מסך הנ''ל מ''ה שוק. . להורודנא נשאר המדינה חייב ששים ושמונה [ס''ח] שאק עם ס׳ שאק שנתנו לבן המלך, ויש [ורשות] להם לנכות סך הנ''ל משלשה סכומי' הנ''ל, והמותר דהיינו נ'ב שאק יתנו לק^ פינצק כנ''ל. נאם מאיר בן לא''א כמר יצחק ז״^ ונאם'יוםף בן יעקב ד'ל; . ונא׳ יהודא ליב [יהודא] בן אהרן ד'ל; ונא׳ שבתי בן לא''א מוהרר שמואל שי׳ איש מרגליות׳; ונא׳ ניסן בן לא''א יהודא זצ''ל; - ונא׳ משה בן הר''ר הילל זצ''ל. (הועתק מפנקס המדינח). אחר שבאו האלופי׳ על החתום הנ''ל, העלח האלוף מוהר''ר מאיר הנ''ל כלל החשבון בפרוטרוט למען דעת אופן יציאת חשבון הנ''ל מתוכו [בבירור] ע''פ פנקס ישן וע''פ הריםטר חשבון הוצאותינו נוסף על קבלת על שני שנים שעברו עד יום ביאת החשבון של וועד אלול שפ''ג. נשאר המדינה חייבי׳ לק''ק בריסק שני אלפי׳ שאק ושבעה מאות שאק ושלשי׳ ושמונה שאק נ''א ג''ל (גרוש ליטא). עוד חייבי׳ המדינה לק''ק בריסק שני מאות וחמשים שאק מחמת שנתנו להוצא׳ השתדלני׳ [השתדלות] צענק החצי העולה ר׳ שאק להחצי; עוד מאה שאק שנתנו לבלבול ק''ק מינםק.וק'ק בריסקישלםלהם מחמת המדינהז וכן בלבול ר׳ עוזר ק''ש; מיכל מלאמז שבעה שאק; בלבולי׳ דווילנא פ''ג שאקז [לנקמת פינסק ק''ס שאק]; שערשאווי ק''ש; לר׳ זעליג מסלאנימ׳ ג׳ שאק; לבלבול זעליג מאמסטיבוו׳ ק''ש; ריוח מן [ר׳ יוחנן] ב' אלפי׳ ת''ר [ח''י] זהו׳ פו׳; על הפסק מלובלין דגראמניץ שפ''ג עד כםליו שפ'ד. לערך פ׳ שאק ויותר. עולה הכל הוצאה ג' אלפים שאק. לכסות מן זה קנס דווילנ [הווילנא] ר׳ שוק [ר''מ שאק]; עוד לנכות מזה מעות המדינה שהניח כמר שאול ז''ל לערך שני אלפי שאק, קמ''ג שאק, כנראה שם [כנרשם] למעלה. "
index:,82,אלו הן החובות שנשארו חייבי' להמדינה: קאפולי׳ משנת שע''ט - ב׳ שאק; פאווראטני ש''פ - ב׳ זהו׳; פאווראטני שפ''א - ב׳ שוקז ב׳ ...,"אלו הן החובות שנשארו חייבי' להמדינה: קאפולי׳ משנת שע''ט - ב׳ שאק; פאווראטני ש''פ - ב׳ זהו׳; פאווראטני שפ''א - ב׳ שוקז ב׳ גלגלות שפ''ב - ז׳ שאק; פאווראטני שפ''ב-ב׳ אדומי׳, עולה ג׳ שאק לו''ג (רוש); ב׳ סכומי׳ שפ''ג-שבעה שאק; פאווראטני שפ''ג ב׳ אדומים, עולה ד' שאק.-מוש: חוב ישן לפי הפנקס, עוד ב׳ גלגולת ב׳ םכומי׳ ופאווראטני שפ''ב, ועוד ב'םכומים ופאווראטני שפ''ג.נ''ח ש'מ''ח ג'.-סמרגאן: נשאר חייב לפי הפנקס חוב ישן, עוד ב׳ גלגולת ב' סכומי׳ ופאווראטני [לפי הפנקס ישן עוד ב׳ סכומות ופאווראטני] שפ''ב. עוד ב׳ סכומי׳ ופאווראטני שפג''ל. — םאלאנקי: ב׳ גלגולת ב' סכומי׳ ופאווראטני שפג''ל, י''ו שאק מ''ח ג׳ פו׳. משה מאיוויא לא נתן כלום עד היום הזה לא חוב ישן ולא חדש. - פאלאצק: על מה שנתנו לר׳ בער לפי הקוויט שבידם ד׳ שאק. פאווראטגי ש''פ: י''ז זהו׳ יג''ל; פאווראטני שפ''א י''ג זהו׳; ב׳ םכומי׳ ש''פ ח׳ שאק; ג' גלגולת ג׳ םכומי׳ ל״ג שאק; ע''ז נתנו ע׳״ ר''מ כ''ץ ל׳ שאק; עוד חייבי׳ ב׳ גלגולת ב׳ סכומי׳ לפאווראטני שפ''ב ועוד ב׳ סכומים ופאווראטני שפג''ל. - סלאנימ׳: חוב ישן עשרי׳ שאק, עוד נ''ח מב׳ סכומי׳ שפ''ב ח' שאק, מן ב׳ סכומי׳ שפ''ב [שפ''ג] ח׳ שאק. נוואהארידוק: חוב ישן לפי הפנקס, עוד מב׳ גלגולת, מב׳ םכומי ופאווראטני שפ''ב ר שאק כ''ד ג׳, עוד מ׳ םכומי' ופאווראטני שפ''ג כ''ח שאק; שכר ר׳ זלמן שמש מתוך המדינה כ''ד שאק לי' לכל שנה ושנה מן חג פסח שפ''ג לפ''ק. "
index:,83,"איםור משא ומתן של ממון במקומו עומד בכל חומר ותוקף חרמות ושמתות אשר גזרו חכמי ארץ, כל שלא יחזור ויצא התיר [היתר] ע״' מנין אחר ...","איםור משא ומתן של ממון במקומו עומד בכל חומר ותוקף חרמות ושמתות אשר גזרו חכמי ארץ, כל שלא יחזור ויצא התיר [היתר] ע״' מנין אחר מחכמי ארץ כדת משפט דבר שנאסר במנין. לאיש אשר השעה דחיקא לו במםבע קטנה די לצורך עיזר [פיזור] ביתו ולא כלום לצורך משא ומתן, הרשות לו להחליף מן גוי וליתן לו ריוח מועט ולא יותר מן כדי צורך פיזור ביתו ולא כלום לצורך משא ומתן. גם שלא לקבל שום ריוח בעולם לא מן גוי [ולא] מיהודי ולא להרויח בשום מטבע בעולם. ואם יודע לאיש סך ידוע במטבע קטנה יודיע הדבר להקהל שלו, המה יודיע [יודיעו] להשתדל אודו׳ מטבע קטנח לידיהם לטובת הקהלה, רק הוא ימנע עצמו מלהרויח שום פרוטה. מטבעות פסולות כגון לוגשצ׳״ דונצייש [ליגגיצי, דונצישק] ליפאווצקי''שא) להחליף בםחורהולחזור ולהרויח, אמנם לא דרך קבע להעמיד משא ומתן עליו לילך מעיר לעיר אחריהם ולא לחקור ולתור ולדרוש אחריהם אף במקומו, כי אם מה שיעלה בידו דרך ארעי רשאי להחליף; ולהתיך אסור לגמרי כל מטבע שבעולם. "
index:,84,"בתולות עניות: על ג׳ ראשי בתי דינין לצוות ולגדור, דהיינו ק״ק בריסק עם הסביבות הנכנסים עמה׳ בסכום המדינה יתנו עיניה׳ ולבם על [...","בתולות עניות: על ג׳ ראשי בתי דינין לצוות ולגדור, דהיינו ק״ק בריסק עם הסביבות הנכנסים עמה׳ בסכום המדינה יתנו עיניה׳ ולבם על [שנים] עשר בתולות שינשאו תוך כל שנה ושנה; הורודנא עם הסביבות עשרה; פינצסק עם הסביבות שמנה, וליתן לכל אחד ואחד [אחת ואחת] שלשים זהו׳. ואין להשיאה עד שתהי׳ בת ט''ו שני' כנ''ל בפנקם. והיותר בכירות בכל עיר ועיר יעלו אותם במספר שמות על הכתב לעיני ראש ב''ד ולהטיל גורל; אותן שיזכו בגורל יקחו הק׳ כנ''ל [חלק כנ''ל]. ואותן שלא יקחו בשנה זו יקחו לשנה האחרת בלא גורל. וחםביבות עם ראשי הקהלות יעשו סדר ומצב מוצא הכסף מאין יבאו ויקחו המעות הנ״ל לכל יחסר המזוג [המזג]. "
index:,85,"^ עלה ונגמר על [עוד] שאין לו לשום אדם לעשות שום מ ק ח ע ל שום ס ח ו ר ה שאין ביד חבירו כל עיקר אותו סחורה, רק על סמך שיקנה ...","^ עלה ונגמר על [עוד] שאין לו לשום אדם לעשות שום מ ק ח ע ל שום ס ח ו ר ה שאין ביד חבירו כל עיקר אותו סחורה, רק על סמך שיקנה גם הוא אותו סחורה מאשר נלאשר] ימצא פוסק עמו: כאשר יקנה הוא יוסיף לו על כל חתיכה וחתיכה או על כל אמה ואמה או על כל משקל פונט ופונט סך כך וכך; ועל כן מתיקר השער וגורם בלבול ועירוב באות׳ סחורה כי לא איכפי׳ לי׳ אף אם יקנה אותה ביוקר גדול׳ בהיות שהוא קרוב לשכר ורחוק להפםד ומפםיד שאר מח׳ [מחיות] בני העיר והגליל. ע''כ אין לעשות מקח כזה כל עיקר בעונש חרם ובעונש הפםד כל אות׳ סחורה הן מיד המוכר הן מיד הקונה, רק לא יעשה מקח כנ''ל עד שתהא אות׳ סחורה קנוי׳ לו, או יפסוק עמו ליתן לו בעד אותה סחורה סך ידוע, הן שימצאנה הקונה לקנות בפחות וירויח הן]שלא ימצאנה לקנותה כ''א ביותר ויפסיד, ולא שיתן לו ריוח על כל דבר ודבר. יען אשר] עינינו רואו׳ העדר קיום תקנות אשר במדינ׳ בקהלה ובסביבות, אשר אין דזרש ומוכיח על פני עוברי דת התקנות לתת לאיש כפי דרכו וכפרי מעלליו בעונש ובקנם המבואר בפנקס המדינה. וסיבה לזה מקצתן ממנהיגי קהלות מושכי׳ ידיהם"" אחריהם מחמת צד נגיעה וקצת מחמת התרשלות בקדירה דבי שותפי להקל משא מעליה׳ מעצימין עיניהם כאלו לא פעלו עולה. עתה עלה ונגמר: בכל ראשי בתי דינין מידי חג בחג של פסח ימנו תוך שאר מינויי הקהל שני אנשים מיוחדין אשר יעמודו ע'ל משמור קיום תוקף התקנות, ולהיות ביד אותם שני אנשי׳ ממונים מטה עוז להוציא ולגבות כל קנס וקנס מיד כל פורץ גדר ולצאת נגדו בחרפות (בחרמותז) ושמתות ויתר כפיות שבעולם, ואפי׳ שום ראש או מנהיג לא יכניס ראשו לדבר דבר נגדם הן קטן וגדול בעםק משמור שני ממונים. ומהיום ועד חג פסח הבע'ל יעמודו ראשי מדינות של כל עיר ועיר על משמר קיום החקנות בכל אופן הנ''ל; ואם לא יעשו משפט כת׳ [כתוב] הנ''ל הן הממונים מיוחדי׳ כב''ל הן ראשי מדינו׳ עד חג הפסח הבע''ל נדל יקנסו הם בעונש קנס המבואר בפנקס תהת העובר, לגבות מידם בתורת חוב גמור. "
index:,86,שום ב''ד לא ישיג גבול ב'ד האחר בישובי׳ ובםביבות.רק כל ב״ד וב''ד יעמיד בשל׳ :נשלו] ע''פ הרשום בכת׳ הפנקס למטה. ...,שום ב''ד לא ישיג גבול ב'ד האחר בישובי׳ ובםביבות.רק כל ב״ד וב''ד יעמיד בשל׳ :נשלו] ע''פ הרשום בכת׳ הפנקס למטה. 
