עמודה1,Pub. Date,כותר,מחבר,Title,Author,מקום דפוס,שנת דפוס,Pub. Place,עמודה2
37325,1530,דרשות התורה,"אבן שם טוב, שם טוב בן יוסף",,,שאלוניקי,רצ,Thessaloniki,
37931,1527,מחזור לנוסח ברצלונה מנהג קאטאלוניה,,,,שאלוניקי,רפז,Thessaloniki,
9132,1522,עקדת יצחק,"ערמה, יצחק בן משה",Akeidas Yitzhak,Even Aramah Yitzhak bar Moshe,שאלוניקי,רפב,Thessaloniki,
35272,1521,שארית יוסף,יוסף בן שם טוב בן ישועה חי,,,שאלוניקי,רפא,Thessaloniki,
9056,1517,מאיר איוב,"ערמה, מאיר בן יצחק",Meir Iyov,"Aramah, Meir",שאלוניקי,רעז,Thessaloniki,
9066,1515,מדרש תהלים [],"יצחק בן שמשון, הכהן, -1624",Midrash Tehilim,,שאלוניקי,רעה,Thessaloniki,
8943,,"שאלות ותשובות מהרב שמואל די מדינה - אורח חיים, יורה דעה","מדינה, שמואל בן משה די",Shaalos veTeshuvos,"de Medina, Shmuel bar Moshe",שאלוניקי,שנד - ח,Thessaloniki,
13984,,הוראת שעה,רבי שלמה ברבי יהודה הכהן,Horoas Sha'ah,Shlomo bar Yehudah haCohen,שאלוניקי,,Thessaloniki,
15695,,אבני שהם - חלק ב,"פרץ, אברהם בן יעקב",Avnei Shoham Peretz Vol 2,Avraham bar Yaakov miBeis Peretz,שאלוניקי,תקצה - תרה,Thessaloniki,
15797,,אבני שהם - חלק א,"פרץ, אברהם בן יעקב",Avnei Shoham Peretz Vol 1,Avraham bar Yaakov miBeis Peretz,שאלוניקי,תקצה - תרה,Thessaloniki,
27275,,משפט ליעקב - חלק א,"אוטולנגי, משה יעקב בן דוד",,,שאלוניקי,,Thessaloniki,
9090,1515,מפשר חלמין,"אלמולי, שלמה",Mafshir Chelmin,"Almulei, Shlomo",שאלוניקי,רעה,Thessaloniki,
42496,1863,ספר חיים,"פלג’י, חיים בן יעקב, 1788-1869",,,שאלוניקו,תרכג,Thessaloniki,
370,1862,רב דגן,"יצחק בן משה, הלוי, מקושטא",Sh u-t Rov dagan Vols 1-3,"Halevi, Yitshak,",שאלוניקו,תרכב,Thessaloniki,
37796,1805,חלקו של ידיד,"טריקה, ידידיה שמואל בן יהודה",,,שאלוניק,תקסה,Thessaloniki,
38825,1805,חלקו של ידיד,"טריקה, ידידיה שמואל בן יהודה",,,שאלוניק,תקסה,Thessaloniki,
37359,1628,ספר התרומות,"שמואל בן יצחק, הסרדי",,,שאלוניק,שפח,Thessaloniki,
7091,1904,תורת חטאת - מנחת יעקב,"איסרלש, משה בן ישראל (רמ""א), 1525-1572",Torat hatat,"Isserles, Moses ben Israel,",רשה,תרסד,Risha,
36523,1906,סדור שפת אמת,,,,רעדעלהיים,תרסו,,
35952,1901,סדר עבודת ישראל,,,,רעדעלהיים,תרסא,,
45725,1875,הקינות לתשעה באב,יצחק בן אריה יוסף דוב,,,רעדעלהיים,תרלה,,
39746,1861,העורבים ובני יונה,"כרמולי, אליקים, 1802-1875",,,רעדעלהיים,תרכא,,
36160,1832,סידור שפה ברורה - מתורגם אשכנזית,,,,רעדעלהיים,תקצב,,
36169,1832,קרובות הוא מחזור ליום כפור,,,,רעדעלהיים,תקצב,,
36170,1832,קרובות הוא מחזור ליום כפור,,,,רעדעלהיים,תקצב,,
36171,1832,קרובות הוא מחזור ליום ראשון של ראש השנה,,,,רעדעלהיים,תקצב,,
36172,1832,קרובות הוא מחזור לערבית יום כפור,,,,רעדעלהיים,תקצב,,
36173,1832,קרובות הוא מחזור לערבית יום כפור,,,,רעדעלהיים,תקצב,,
36533,1832,קרובות הוא מחזור ליום ראשון ושני של פסח,,,,רעדעלהיים,תקצב,,
36534,1832,קרובות הוא מחזור ליום ראשון של ראש השנה,,,,רעדעלהיים,תקצב,,
36535,1832,קרובות הוא מחזור ליום ראשון של ראש השנה,,,,רעדעלהיים,תקצב,,
36536,1832,קרובות הוא מחזור ליום שביעי ושמיני של פסח ולשבת חול המועד,,,,רעדעלהיים,תקצב,,
36537,1832,קרובות הוא מחזור ליום שני של ראש השנה,,,,רעדעלהיים,תקצב,,
36538,1832,קרובות הוא מחזור ליום שני של ראש השנה,,,,רעדעלהיים,תקצב,,
36539,1832,קרובות הוא מחזור ליום שני של ראש השנה,,,,רעדעלהיים,תקצב,,
36235,1831,קרובות - מחזור לחג השבועות,,,,רעדעלהיים,תקצא,,
36236,1831,קרובות - מחזור לשמיני עצרת ולשמחת תורה,,,,רעדעלהיים,תקצא,,
14145,1829,שמים חדשים,"אברבנאל, יצחק בן יהודה, 1437-1508",Shamayim Chadashim,Don Yitzhak Abarbanel,רעדעלהיים,תקפט,Rodelheim,
3912,1822,הגדה לליל שימורים,וואלף היידענהיים,Hagadah leLeil Shemurim,"Hidenheim, Wolf",רעדעלהיים,תקפב,Rodelheim,
15387,1822,ההגדה לליל שמורים,"הרשב""ץ-רבי וואלף היידנהיים",haHadagah leLeil Shemorim,"HaRashbatz, Wolf Hidenheim",רעדעלהיים,תקפב,Rodelheim,
5853,1808,משפטי הטעמים -,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Mishpatei haTeamim,Wolf Hidenchaim,רעדעלהיים,תקסח,Rodelheim,
14464,1804,מעין החכמה,"ברלין, נח חיים צבי בן אברהם מאיר, 1734-1802",Meeyin haChochmah Mitzvas,"Noach Chaim Tzvi Avdak Ah""u",רעדעלהיים,תקסד,Rodelheim,
15697,1800,מחזור-רעדלהיים,רבי וואלף היידינהיים-מאתי,Machzor Heidenheim Rosh haShonah,Wolf Heidenheim-Masi,רעדעלהיים,תקס,Rodelheim,
16235,1800,מחזור-רעדלהיים,רבי וואלף היידינהיים-מאתי,Machzor Heidenheim Yom Kippur,Wolf Heidenheim-Masi,רעדעלהיים,תקס,Rodelheim,
4302,1753,ארץ צבי - חלק א,צבי הירש בן אברהם אליעזר ליפמן,Eretz Tzvi,Tzvi Lipman,רעדעלהיים,תקיג,Roedelheim,
4923,1753,מקשה זהב,מאיר,Mikshah zahav /,"Meir ben Levi,",רעדעלהיים,תקיג,Rodelheim,
37565,1753,מקשה זהב,הרב מאיר בן לוי,,,רעדעלהיים,תקיג,,
37651,1753,ארץ צבי - חלק א,צבי הירש בן אברהם אליעזר ליפמן,,,רעדעלהיים,תקיג,,
5740,1751,חדות יעקב,"זמישט, יעקב",Hedvat Yaakov,"Zamsht, Yaakov",רעדעלהיים,תקיא,Roedelheim,
35170,1751,חדות יעקב - חלק א,"זמישט, יעקב",,,רעדעלהיים,תקיא,,
35171,1751,חדות יעקב - חלק ב,"זמישט, יעקב",,,רעדעלהיים,תקיא,,
6647,1910,שערי שלום,"שין, שלום, הכהן",Shaare Shalom,"Shain, Shalom,",רינא,תרע,Rina,
9133,1522,עקרים,"אלבו, יוסף, 1380-1444",Ikrim,"Albo, Yosef",רימיני,רפב,,
38945,1522,ספר עקרים,"אלבו, יוסף, 1380-1444",,,רימינו,רפב,,
35678,1560,אגרת המוסר,"אריסטו, 384-322 לפנה""ס",,,ריװא דטרינטו,שכ,,
38311,1560,"תועליות הרלב""ג","לוי בן גרשם, 1288-1344",,,ריווה דטרינטו,שכ,,
35360,1560,תועליות הרלב״ג,"לוי בן גרשם, 1288-1344",,,ריווה דטרינט,שכ,,
35726,1560,קיצורי אבן רשד,"אבן רשד, מחמד, 1126-1198",,,ריווא די טרענטו,שכ,,
4902,1560,מלחמות השם,"לוי בן גרשם, 1288-1344",Milchomos haShem,Levi,ריווא די טרינטו,שכ,Reva de Tarnita,
5854,1560,משא גיא חזיון,"ענו, בנימין בן אברהם, 1210-1285",Maseh Gia Chezyon,Benyamin,ריווא די טרינטו,שכ,Reva de Tarnita,
8988,1562,ביאורים,"איסרלין, ישראל בן פתחיה, 1390-1460",Biurim,Isserlin Yisroel bar Pesachai,ריווא דטרינטו,שכב,?,
38785,1562,גורן נכון,"אבן גבירול, שלמה בן יהודה, 1021-1058",,,ריווא דטרינטו,שכב,,
8955,1561,שערי אורה,"ג’יקטיליה, יוסף בן אברהם",Shaarei Orah,Gikatli Yosef bar Avraham,ריווא דטרינטו,שכא,?,
9121,1561,עברונות,,Evronos,,ריווא דטרינטו,שכא,,
9208,1561,שערי צדק,"ג’יקטיליה, יוסף בן אברהם",Shaarei Tzedek,Gikatli Yosef bar Avraham,ריווא דטרינטו,שכא,?,
35244,1561,מסכת דרך ארץ ופרקי בן עזאי,,,,ריווא דטרינטו,שכא,,
38075,1561,ספר עברנות,"בלין, אליעזר בן יעקב",,,ריווא דטרינטו,שכא,,
8861,1560,טורים,"יעקב ב""ר אשר (בעל הטורים)",Turim,Yaakov bar Asher bal Haturim,ריווא דטרינטו,שכ,?,
8898,1560,מלחמות השם,"לוי בן גרשם, 1288-1344",Melchomos haShem,Levi ben Gershom(Ralbag),ריווא דטרינטו,שכ,,
9000,1560,"דקדוקי רש""י",מקדמון אחד,Dikdukei Rashi,Shlomo bar Yitzhak Rashi,ריווא דטרינטו,שכ,,
9215,1560,תועליות הרלבג,"לוי בן גרשם, 1288-1344",Toliyot HaRalbag,Levi ben Gershom(Ralbag),ריווא דטרינטו,שכ,,
18457,1560,קצורי אבן רשד,"אבן רשד, מחמד, 1126-1198",,,ריווא דטרינטו,שכ,,
35254,1560,משא גיא חזיון,"ענו, בנימין בן אברהם, 1210-1285",,,ריווא דטרינטו,שכ,,
38415,1560,"דקדוקי רש""י",מקדמון אחד,,,ריווא דטרינטו,שכ,,
8822,1559,"רבינו בחיי על התורה - ה""ח",בחיי בן אשר אבן חלאוה,Bachya,Bachya bar Asher,ריווא דטרינטו,שיט,?,
8945,1559,שבילי אמונה,"אלדבי, מאיר בן יצחק",Shvili Emunah,"Aldebi, Meir bar Yitzhak",ריווא דטרינטו,שיט,,
9095,1559,רב מרדכי,"מרדכי בן הלל, אשכנזי",Rav Mordechai,,ריווא דטרינטו,שיט,?,
18255,1559,"ברכות מהר""ם","מאיר בן ברוך, מרוטנבורג, -1293",,,ריווא דטרינטו,שיט,,
18383,1559,מנהגים - רבי אברהם קלויזנער,"קלויזנר, אברהם",,,ריווא דטרינטו,שיט,,
35261,1559,סימני וקצורי המרדכי,"מרדכי בן הלל, אשכנזי",,,ריווא דטרינטו,שיט,,
35426,1559,שאלות ותשובות בר ששת,יצחק בן ששת,,,ריווא דטרינטו,שיט,,
35604,1559,כל מלאכת היגיון לארסטוטלו,"אבן רשד, מחמד, 1126-1198",,,ריווא דטרינטו,שיט,,
37520,1559,שבילי אמונה,"אלדבי, מאיר בן יצחק",,,ריווא דטרינטו,שיט,,
38688,1559,שאלות ותשובות בר ששת,יצחק בן ששת,,,ריווא דטרינטו,שיט,,
38995,1559,שאלות ותשובות בר ששת,יצחק בן ששת,,,ריווא דטרינטו,שיט,,
8964,1558,תולדות יצחק,"קרו, יצחק בן יוסף",Toldos Yitzhak,Karo Yitzhak bar Yosef,ריווא דטרינטו,שיח,?,
35592,1559,רב מרדכי,"מרדכי בן הלל, אשכנזי",,,ריווא דטרינט,שיט,,
36123,1559,רב מרדכי,"מרדכי בן הלל, אשכנזי",,,ריווא דטרינט,שיט,,
37420,1559,חידושי הרב רבינו נסים,"נסים בן ראובן, גרונדי",,,"ריווא דטרי""נט",שיט,,
37551,1559,חידושי הרב רבינו נסים,"נסים בן ראובן, גרונדי",,,"ריווא דטרי""נט",שיט,,
15271,1561,שערי צדק,"ג’יקטיליה, יוסף בן אברהם",Shaarei Tzedek-Karnitol,Yosef ben Karnitol,ריוא די טרינטו,שכא,,
38283,1561,שערי אורה,"ג’יקטיליה, יוסף בן אברהם",,,"ריו""וא דטרי""נטו",שכא,,
17644,1824,"מעיל קינ""ה","אלמנצי, יוסף בן ברוך, 1801-1860",,,ריגייו,תקפד,,
18479,1819,פתח האהל,"כהן, חנניה אלחנן חי",,,ריגייו,תקעט,,
26175,1814,למודי ה',"מודנה, דוד זכות בן מזל טוב, 1778-1865",,,ריגייו,תקעד,,
31540,1809,במות בעל,"כהן, חנניה אלחנן חי",,,ריגייו,תקסט,,
13656,,אור שמח - חלק א-ב,"כהן, מאיר שמחה בן שמשון קלמן, 1843-1926",,,ריגה,תרסב - תרפ,,
25067,1911,הגיון לבי,"ליכטנשטיין, צבי ב""ר אליעזר ליפמאן",,,ריגא,תרעא,,
33461,1911,חיי ישראל - חלק א,"אברמוביץ, מיכל ליב",,,ריגא,תרעא,,
11353,1910,אור שמח - חלק א,"כהן, מאיר שמחה בן שמשון קלמן, 1843-1926",Ohr Sameach Vol 1,Meir Simcha ben Shimshon Klonimus Cohen,ריגא,תרע,Riga,
29575,1840,כבוד אב ואם,"ליפשיץ, אברהם דוד",,,ריגא,תר,,
25794,,"הכה""ג והסגן","סאמונאוו, אפרים",,,ריגא,,,
29597,,מאדערנער אידישער רעדנער,א. ש.,,,ריגא,,,
29667,,השולחן הטהור,"ליפשיץ, אברהם דוד",,,ריגא,תרצח,,
31648,,דרשה לבר מצוה,"הנקין, יהושע",,,ריגא,,,
3117,1878,אלפא ביתא,"צבי הירש בן שלום זליג, מנדבורנה",Alfa Beta,Tzvi Hirsh miNadvorna,רוסיה-פולין,תקן,Russia Poland,
8137,1836,הגדה של פסח ספר שפת הים ומיצר ים,"אלטשולר, זאב וואלף ב""ר דוב בער",Hagadah shel Pesach Sfas haYam U'Meitzar Yam,"Altshuler, Zev Wolf bar Dovid Beer",רוסיה,תקצו,,
8126,1817,הגדה של פסח ספר באר מים,"יוסף משה ב""ר אלקנה",Hagadah shel Pesach Be'er Mayim,Yosef Moshe bar Elkanah,רוסיה,תקעז,?,
25500,1826,"חידושי הריטב""א - שבועות","יום טוב בן אברהם, אשבילי",,,רוסיה,תקפו,,
30326,,דרכי ישרים,"הורביץ, שמואל שמלקא בן צבי הירש, מניקולסבורג, 1726-1778",,,רוסיה,,,
365,1547,הפסק,"אבן צור, יצחק לאון בן אליעזר",Hefsek,"Even Tzur, Yitzhak Levin",רומה,שז,Rome,
1102,1470,שאלות ותשובות רבינו שלמה בן אדרת,"אדרת, שלמה בן אברהם אבן (רשב""א), 1235-1310",Shut haRashba Vol 7,"Even Aderes, Shlomo",רומה,רל,Rome,
11454,1470,שאלות ותשובות רבינו שלמה בן אדרת,"אדרת, שלמה בן אברהם אבן (רשב""א), 1235-1310",Shut haRashbah Vol 7,Shlomo ben Avraham Even Aderes,רומה,רל,Rome,
13094,1810,משנה תורה,"משה בן מימון, 1138-1204",,,רומא,תקע,,
56600,1581,תהלים,,,,רומא,5341,,
37367,1570,"רש""י על התורה - דפוס ראשון","שלמה בן יצחק (רש""י), 1040-1105",,,רומא,רל,,
9191,1545,"שאלות ותשובות רבינו נסים מגירונדי - הר""ן","נסים בן ראובן, גרונדי",Shaalos veTeshuvos,Nissim ben Reuven Gerondi haRan,רומא,שה,?,
37584,1545,"שאלות ותשובות רבינו נסים מגירונדי - הר""ן","נסים בן ראובן, גרונדי",,,רומא,שה,,
38985,1480,שאלות ותשובות רבינו שלמה בן אדרת,"אדרת, שלמה בן אברהם אבן (רשב""א), 1235-1310",,,רומא,רמ,,
38960,1470,"פירוש רש""י על התורה","שלמה בן יצחק (רש""י), 1040-1105",,,רומא,רל,,
38982,1470,"פירוש הרמב""ן על התורה - חלק א","משה בן נחמן, 1194-1270",,,רומא,רל,,
38983,1470,"פירוש הרמב""ן על התורה - חלק ב","משה בן נחמן, 1194-1270",,,רומא,רל,,
1528,1857,"אגרת תשובה על השאלה לענין גילוח בח""ה","לב, יעקב בן חיים די",Iggeres haTeshuvah,Yaakov Ben Chaim De Levi,רוטרדם,תריז,Rottendarm,
35863,1901,סדר עבודת ישראל,,,,"רודעלהיים, גרמניה",תרסא,,
7099,1882,תוצאות חיים,תפילות חולים ומתים,Toztos Chaim,"Baer, Dr.",רדלהים,תרמב,Rodelheim,
686,1812,דברי אגרת,"שטינהרט, מנחם מנדל",Divrei Iggeres,Menachem Mendel ben Shimon,רדלהים,תקעב,Rodelheim,
8812,1905,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim im Targum Ashkenazi,Hidenheim Wolf bar Shimshon,רדלהיים,תרסה,?,
8437,1900,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim im Targum Ashkenazi,Hidenheim Wolf bar Shimshon,רדלהיים,תרס,?,
8432,1898,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim im Targum Ashkenazi,Hidenheim Wolf bar Shimshon,רדלהיים,תרנח,?,
8410,1895,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim veMeturgem Ashkenazis,Hidenheim Wolf bar Shimshon,רדלהיים,תרנה,?,
30345,1890,העברת עצמות משתי בתי עלמין,חברה קדישא (פרנקפורט דמין),,,רדלהיים,תרנ,,
8362,1888,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim im Targum Ashkenazi,Hidenheim Wolf bar Shimshon,רדלהיים,תרמח,?,
8275,1874,הגדה וסדר של פסח עם תרגום אשכנזי,,Hagadah veSeder shel Pesach im Targum Ashkenazi,,רדלהיים,תרלד,?,
8272,1873,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim im Targum Ashkenazi,Hidenheim Wolf bar Shimshon,רדלהיים,תרלג,?,
8239,1867,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim,Hidenheim Wolf bar Shimshon,רדלהיים,תרכז,?,
8198,1859,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim veMeturgem Ashkenazis,Hidenheim Wolf bar Shimshon,רדלהיים,תריט,?,
8199,1859,הגדה וסדר של פסח עם תרגום אשכנזי,"עמנואל, אברהם",Hagadah veSeder shel Pesach im Targum Ashkenazi,Emanuel Avraham,רדלהיים,תריט,?,
31696,1857,זבחי צדק,"בר, יצחק בן אריה יוסף, 1825-1897",,,רדלהיים,תריז,,
8189,1856,סדר הגדה לליל שמורים,,Seder Hagadah leLeil Shemorim,,רדלהיים,תרטז,?,
8185,1853,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",Seder haHadagah leLeil Shemorim im Targum Ashkenazi,,רדלהיים,תריג,?,
32700,1853,תורת אמת,"בר, יצחק בן אריה יוסף, 1825-1897",,,רדלהיים,תריג,,
31441,1850,אמרי אמת,"הינבך, לאו מרקוס",,,רדלהיים,תרי,,
27047,1848,מעלות הנבואה,"שיאר, שמעון",,,רדלהיים,תרח,,
32002,1847,מורה דרך אל ארץ החיים,"זליגסברג, מרדכי חיים",,,רדלהיים,תרז,,
27594,1846,עיר מקלט,"זליגסברג, מרדכי חיים",,,רדלהיים,תרו,,
28270,1845,שדה חיים,"זליגסברג, מרדכי חיים",,,רדלהיים,תרה,,
32130,1842,מקור חיים,"זליגסברג, מרדכי חיים",,,רדלהיים,תרב,,
18496,1831,יריעות שלמה,"פפנהים, שלמה, 1740-1814",,,רדלהיים,תקצא,,
13298,1829,שמים חדשים,"אברבנאל, יצחק בן יהודה, 1437-1508",,,רדלהיים,תקפט,,
18161,1821,רוח דעת ויראת ה',"רוזנבך, אהרן בו אברהם",,,רדלהיים,תקפא,,
13406,1820,סדור שפה ברורה,"היידנהיים, וואלף ב""ר שמשון",,,רדלהיים,תקפ,,
24019,1817,בכורי יוסף,"פביוס, יוסף",,,רדלהיים,תקעז,,
17377,1813,כלילת יופי,"לונטשיץ, אברהם יצחק",,,רדלהיים,תקעג,,
17321,1812,דברי אגרת,"שטינהרט, מנחם מנדל",,,רדלהיים,תקעב,,
28962,1812,תודת אמונת בית ישראל,,,,רדלהיים,תקעב,,
13089,1804,מאמר השכל,אליעזר בן נתן,,,רדלהיים,תקסד,,
29171,1804,תשועת ישראל,"פרנקו-מנדס, דוד, 1713-1792",,,רדלהיים,תקסד,,
28895,1801,שער השמים,גרשון בן שלמה,,,רדלהיים,תקסא,,
3408,1911,צוואה (יחזקאל קצנלנבוגן),"קצנלנבוגן, יחזקאל בן אברהם",Tzavah,Benyamin Beinish ben Yehuda Leib haCohen,רדזין,תרעא,Radzin,
51257,1822,אור עינים,"פונטאנילה, אברהם מיכאל בן שמואל חיים",,,רג'יו,5582,,
32167,1857,נחלת יעקב,"לב, יעקב בן חיים די",,,ראטערדאם,תריז,,
8833,1552,חדושים,"סלאווין, שלמה",Chedushim,"Slavin, Shlomo",ראוונא,חשד,,
35883,1905,תפלה ותחנונים,,,,ראדעלהיים,תרסה,,
7602,1911,צוואה (יחזקאל קצנלנבוגן),"קצנלנבוגן, יחזקאל בן אברהם",Tzavah,Benyamin Beinish ben Yehuda Leib haCohen,ראדזין,תרעא,Radzin,
14473,1911,צוואה (נפתלי כץ),"כץ, נפתלי בן יצחק, 1648-1719",Tzavoah- Naftali Katz,Naftali Katz,ראדזין,תרעא,Rodzin,
15229,1911,שמות שבמשניות,"לינר, ירחם מאיר בן יעקב",Shemos ShebiMishnayos,Yeruchem Meir Leiner,ראדזין,תרעא,Rodzin,
7603,1822,צוואה (אלכסנדר זיסקינד),"אלכסנדר זיסקינד בן משה, מהורדנה",Tzavah Alexander Ziskind,"Katznelbogen, Yechezkel",ראדזין,תרעא,Warsaw,
5825,1820,סדור תפלה ישרה,מרדכי מקרעמניץ,Siddur Tefilah Yeshorah,Mordechai,ראדוויל,תקפ,Rodville,
3421,1909,מצמיח ישועות,"רביצקי, מנחם מנדל",Matzmiach Yeshuos,"Frankel Teumim, Yehudah Aryeh",קרקוב,תרסט,Cracow,
7000,1909,ספר מחכים,נתן בן יהודה,Mehakim,"Freeman, Yaakov",קרקוב,תרסט,Cracow,
6940,1903,ספר העתים,"יהודה בן ברזלי, הברצלוני",haItim,Yehudah ben Barzilah,קרקוב,תרסג,Cracow,
7149,1903,אות ברית,"כהן, שמואל בן צבי",Ois Bris,Shmuel Cohen,קרקוב,תרסג,Cracow,
461,1896,"תורת ח""ן","דמביצר, חיים נתן בן יקותיאל זלמן, 1821-1892",Sh u-t Torat hen,"Dembitzer, Hayyim Nathan,",קרקוב,תרנו,Cracow,
11583,1895,מחול הכרם - סוטה,"לנדא, נתן נטע בן משה דוד, 1841-1906",MiChol HaKerem- Sotah,Nosson Notah Landau,קרקוב,תרנה,Cracow,
11585,1895,כרם נטע - סוטה,נתן נטע לנדא,Kerem Notah Sotah,Nosson Notah Landau,קרקוב,תרנה,Cracow,
39715,1895,עמק הבכא,"יוסף בן יהושע, הכהן",,,קרקוב,תרנה,,
11577,1894,מנחת זכרון,"שיף, וולף בר בן צבי הירש",Minchas Zichron Eruvin,Zev Dovid ben Tzvi Hirsch Shiff,קרקוב,תרנד,Cracow,
51267,1894,אוריין תליתאי,אוריין תליתאי,,,קרקוב,5654,,
1128,1893,שארית יוסף,"יוסף בן מרדכי גרשון, הכהן",Sheeris Yosef,"Katz, Yosef",קרקוב,תרנג,Cracow,
1261,1893,"הלכות פסוקות מן הגאונים רע""ו","תשובות הגאונים רע""ו",Halachos Pesukos min haGaonim,haGaonim,קרקוב,תרנג,Cracow,
10924,1893,מדרש שמואל,"מדרש שמואל. תרפ""ה.",Midrash Shmuel,,קרקוב,תרנג,Cracow,
10925,1893,מדרש משלי,,Midrash Mishlei,,קרקוב,תרנג,Cracow,
1773,1892,תורת עירובין,"קרנגיל, מנחם מנדל",Sh u-t Torat eruvin,"Krengel, Menahem Mendel,",קרקוב,תרנב,Cracow,
6528,1892,חותם קדש,"לוין, יעקב, שו""ב",Hosem Kodesh,"Levin, Yaakov",קרקוב,תרנב,Cracow,
1190,1891,"שו""ת משפטים ישרים - חלקים א - ב","ברדוגו, רפאל בן מרדכי, 1747-1821",Sheelot u-teshuvot Mishpatim yesharim Vols 1,"Berdugo, Refael,",קרקוב,תרנא,Cracow,
6611,1891,פתח הבית - על שלחן ערוך יורה דעה,"טיקטין, אברהם בן גדליה",Petah ha-bayit,"Tiktin, Avraham,",קרקוב,תרנא,Cracow,
102,1890,חיי אריה חלק א-ב,"הורביץ, חיים אריה",Sh u-t Haye Aryeh Vols 1-2,"Horovits, Hayim Aryeh Leybush,",קרקוב,תרן,Cracow,
6378,1889,מגד שמים,"שטגר, משה מרדכי",Meged shamayim Vol 1,"Shteger, Mosheh Mordekhai",קרקוב,תרמט,Cracow,
6930,1889,דברי שמואל,"ולדברג, שמואל",Divrei Shmuel,"Woldberg, Shmuel",קרקוב,תרמט,Cracow,
1551,1886,זכרון בספר,"בורנשטין, מרדכי שרגא פיבל בן יעקב קופל",Ketov zot Zikaron ba-sefer,"Bornstein, Marcus",קרקוב,תרמו,Cracow,
6564,1886,מחנה ישראל - חלק ב,"נימן, ישראל בן יוסף",Mahaneh Yiśrael Vol 2,"Naiman, Yiśrael",קרקוב,תרמו,Cracow,
693,1885,לחם רב,"בוטון, אברהם בן משה די",Lekhem Rav,"De Button, Avraham",קרקוב,תרמה,Cracow,
972,1885,משיב כהלכה חלק א-ב,"פרנקל, אברהם זאב וולף",Meshiv ke-halakhah Vols 1-2,"Frankel,  Avraham Zev Volf",קרקוב,תרמה,Krakow,
6563,1884,מחנה ישראל חלק א,"נימן, ישראל בן יוסף",Mahaneh Yiśrael Vol 1,"Naiman, Yiśrael",קרקוב,תרמד,Cracow,
1127,1882,שאלות ותשובות רבי יהודה מינץ,"מינץ, יהודה בן אליעזר, 1409-1509",Shut Mahari Mintz,"Mintz, Yehudah",קרקוב,תרמב,Cracow,
11110,1882,ספר העברונות,אליעזר בן יעקב בלין,Sefer HaEvronos,Eliezer ben Yaakov Balin,קרקוב,תרמב,Cracow,
50863,1882,"שו""ת מהר""י מינץ ומהר""ם פדוואה","מינץ, יהודה בן אליעזר הלוי",,,קרקוב,5642,,
1088,1881,"שו""ת מהרי""ל",יעקב בן משה הלוי,Shut Maharil,Yaakov ben Moshe haLevi,קרקוב,תרמא,Cracow,
780,1875,דברי חיים - חלק א-ב,"הלברשטם, חיים בן אריה ליבוש, מצנז, 1797-1876",Divrei Chaim Vols 1-2,"Halberstam, Chaim",קרקוב,תרנב,Lvov,
50938,1871,איש חיל,"אנגלטשיק, חיים יהודה",,,קרקוב,5631,,
51156,1650,ויזרע יצחק,"פרלס, יצחק בן אלעזר",,,קרקוב,5410,,
51230,1650,תיקוני שבת,תיקונים. שבת. ת'. קרקוב,,,קרקוב,5410,,
3407,1600,תוצאות חיים,"וידש, אליהו בן משה",Toetzos Chaim,"Katz, Naftali",קרקוב,שס,Cracow,
7054,1591,פני יצחק,"חיות, יצחק בן אברהם, 1538-1610",Pnei Yitzhak,Yitzhak ben Avraham Chiyos,קרקוב,שנא,Cracow,
36046,1590,זאת תורת החטאת,"איסרלש, משה בן ישראל (רמ""א), 1525-1572",,,קרקוב,שנ,,
7043,1582,סדר ברכות,"מורפצ’יק, יחיאל מיכל",Seder Brochos,Yechiel Michel ben Yedidiah,קרקוב,שמב,Cracow,
6870,1578,"שולחן ערוך. של""ח",משה איסרלס,Shulchan Oruch Shelach,"Iserels, Moshe",קרקוב,שלח,Cracow,
6871,1578,"שולחן ערוך. של""ח",משה איסרלס,Shulchan Oruch Shelach,"Iserels, Moshe",קרקוב,שלח,Cracow,
