Title,Manifest,Archive,Fond,Reference Number,Language,Creation Date,Place of Origin,Geographical Names,Surnames,Notes,Tags
Pozwy do trybunału skarbowego z powództwa starostów wieluńskich w związku z dekretem sądu zjadowego w Zamościu,"1) Wojciech Męciński z Kurozwęk i Anna Męcińska z Głogowskich starostowie wieluńscy wraz z Antonim Morskowskim przypozywają do trybunału skarbowego w Radomiu Wacława Rzewuskiego wojewodę podolskiego, starostę chełmskiego i stuleńskiego oraz Józefa Jeżewskiego stolnika płockiego, dzierżawcę starostwa chełmskiego w sprawie stawienia starszych ziemskich z Chełma (Zelka Herszowicza, Herszela Rabinowicza, Moszka Rabinowicza, [Moszka] Józwowicza, Zawela Szymonowicza. ) w związku z odbytym sądem zjazdowym (tzw. kondescencją) w Zamościu 12 I 1750 r. oraz remisją do trybunału radomskiego w sprawie między nimi-powodami a starszymi ziemskimi chełmsko-bełskimi na podstawie, której zasądzona została na ich rzecz zapłata zaległej asygnacji skarbowej przez Żydów. 
2) Męcińscy wraz z Morszkowskim pozywają w w/w sprawie i z tego samego powodu w związku z w/w kondescencją Seweryna Józefa Rzewuskiego referendarza wielkiego koronnego, starostę lubomelskiego i nowosielskiego w sprawie stawienia przebywających w jego dobrach starszych ziemskich chełmsko-bełskich Judkę Pinkowicza [marszałka ziemstwa chełmsko-bełskiego] i Herszkę Abramowicza Żydów lubomelskich [starszych ziemskich lubomelskich].
3) Męcińscy wraz z Morszkowskim pozywają w w/w sprawie i z tego samego powodu w związku z w/w kondescencją Zelka Herszowicza, Heszela Rabinowicza, Moszka Rabinowicza, Ejzyka Rabinowicza, marszałka ziemskiego chełmskiego Judkę Pinkowicza i Herszka Abramowicza z Lubomla, Abela Pietruszkę z Bełza, Wulfa Nochymowicza z Hrubieszowa, Daniela Senderowicza syndyka ziemskiego, tj. starszych ziemskich chełmsko-bełskich na okoliczność sfałszowania kwitacji na sumę 7721 złp danej 17 IX 1716 r. ich poprzednikom przez ur. Kamieńskiego. Domagają się skasowania tej kwitacji, zapłacenia zasądzonej sumy wraz z prowizją, wykonania dekretów.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 147, s. 141v-145v",Latin,02.03.1750,Radom,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Liuboml, Podolia (Podole), Radom, Zamosc","Abel Pietruszka, Ajzyk Rabinowicz, Daniel Senderowicz, Herszek Abramowicz, Herszel Rabinowicz, Jeżewski Józef, Judka Pinkowicz, Józwowicz, Kamieński, Moszek Rabinowicz, Moszkowski Antoni, Męcińska Anna, Męciński Wojciech, Rzewuski Seweryn Józef, Wulf Nochymowicz, Zawel Szymonowicz, Zelek Herszowicz",3 dokumenty. Relację o położeniu wszystkich trzech pozwów do ksiąg grodzkich chełmskich zdał 3 IV 1750 r. Piotr Kordecki,"asygnacja, egzekucja dekretu, pozew, trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
Ugoda starszych ziemskich lwowskich z kahałem stryjskim,"Kopia ugody zawartej pomiędzy starszymi ziemskimi powiatu lwowskiego a gminą w Stryju. Z powodu zubożenia gmina stryjska ma placić do skarbu tylko 1200 złp rocznie, jednakże wydane już asygnacje na pogłówne żydowskiego za przeszły rok w wysokości 1854 złp powinna zapłacić. Podpisali: Aaron Szymunowicz starszy lwowski, Zejlik lwowski, Mendel lwowski, Nosan Moszkowicz lwowski, Zelman, Icko Szmujłowicz, Chaim Reycen, Mendel lwowski, Abraam, Icko oraz osobno z adnotacją ""Ja też pozwalam na tę zgodę Nuszym żółkiewski"".",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 45",Polish,06.02.1726,Lwów,"Lviv (Lwów), Stryi, Zhovkva (Ukraine)","Aaron Szymunowicz, Abraam, Chaim Reyce, Icko, Icko Szmujłowicz, Mendel, Nosan Moszkowicz, Nuszym, Zejlik, Zelman",,"ugoda, ziemstwo ruskie"
Dekret sądu zjazdowego między spadkobiercami starosty grabowieckiego a starszymi ziemstwa chełmsko-bełskiego,"Józef Łopuski podstarości i sędzia grodzki chełmski na zlecenie urzędu grodzkiego chełmskiego w obecności świadków Michała Sanfamana, Wojciecha Grodzkiego, Andrzeja Tarnowskiego i woźnego Jana Zbaraszczuka (konstytuujących sąd zjazdowy, tzw. kondescencję) wydał w Zamościu 12 I 1750 r.dekret w domu Moszka Józwowicza, wykonując tym samym dekret trybunału skarbowego radomskiego (7 VI 1749 r.) w sprawie między małżeństwem Męcińskich starostów wieluńskich a spadkobiercami [Franciszka] Głogowskiego starosty grabowieckiego (reprezentowanymi przez plenipotenta Antoniego Morzkowskiego) oraz starszymi ziemskimi chełmsko-bełskimi (stawającymi osobiście - Judka Pienkowicz marszałek, Elia Haszkielowicz, Abel Pietruszka, Zelko Herzowicz rabin wojsławicki) w sprawie jakoby niewypłacenia sumy 7721 złp. Strona pozwana (Żydzi) odwołała się do manifestacji  dotyczącej wyroku trybunału skarbowego z 18 XII 1749 w sądzie grodzkim chełmskim, w którym uznano za nieważną odnalezioną kwitację (z powodu oblatowania jej bez pokazania oryginału), oblaty tejże kwitacji w aktach grodzkich bełskich oraz relacji położenia pozwu z 7 I 1750 r.. Sąd odesłał sprawę do trybunału skarbowego.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 147, s. 46v-48r",Latin,12.01.1750,Zamość,"Belz (Bełz), Chełm (Chelm), Grabowiec, Radom, Wieluń, Zamosc","Abel Pietruszka, Daniel Senderowicz, Elia Haszkielowicz, Grodzki Wojciech, Głogowski Franciszek, Judka Pienkowicz, Moszko Juzwowicz, Moszkowski Antoni, Męcińska Anna, Męciński Wojciech, Sanfaman Michał, Tarnowski Andrzej, Zbaraszczuk Jan, Zelko Herszkowicz, Łopuski Józef",,"egzekucja dekretu, zadłużenie (długi), ziemstwo chełmsko-bełskie"
"A letter by the administrator of Crown Treasury, Jan Kanty Moszyński, to the elders of the Ostróg kahal on an unreliable dyspartyment","Jan Kanty Moszyński, administrator of the Crown Treasury, in connection with the complaint filed by the deputies of the regiment of the Kiev Master of the Hunt, [Adam] Stecki, admonishes the elders of Ostróg to abandon the practice of entering nonexistent sub-kahals (przykahałki) into the dyspartyments of the poll tax and orders them to satisfy the claims of the deputies under the threat of punishment.","Diaspora Research Center Tel Aviv, The Central Archives of Historical Records in Warsaw","Archive of the Crown Treasury 84 (Archiwum Skarbu Koronnego 84), Raphael Mahler collection P-66","AGAD, ASK 84 sygn. 26 s. 307-308, Diaspora Research Center, P-66, 927, 157-2, s. 101, 103",Polish,24.10.1735,Warszawa,"Kiev, Ostroh (Ostróg), Warsaw (Warszawa)","Moszyński Jan Kanty, Stecki Adam","Copy. Second copy  in collection of Raphael Mahler from manuscript in AGAD, ASK 2, f. 427.","dyspartyment (taryfa), partykularz (przykahałek), pogłówne"
List o ugodzie starszych ziemskich ruskich z gminą w Sanoku,"NN [nieczytelny podpis, prawdopodobnie pisarz skarbu koronnego) informuje, że przybyli do niego Żydzi z Sanoka wraz z Izraelem Dawidowiczem syndykiem ziemstwa ruskiego i przedłożyli ugodę, zgodnie z którą Żydzi sanoccy nie mieli płacić do skarbu koronnego pogłównego żydowskiego w roku 1726, w roku 1727 zaś 150 zł, a w kolejnym roku 1728 300 złp. W razie obciążenia większą kwotą skarb koronny miał nie przyjmować dyspartymentu ziemstwa ruskiego, jednocześnie Żydzi sanoccy zobowiązali się zapłacić asygnacje skarbowe, które zostały wydane do nich w poprzednich dwóch latach.",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 43",Polish,13.06.1725,Radom,"Radom, Sanok",Izrael Dawidowicz,,"ugoda, ziemstwo ruskie"
Remanifestacja deputata chorągwi krajczego koronnego przeciwko starszym ziemskim chełmskim,"Józef Russian podczaszy latyczowski, towarzysz i deputat chorągwi Franciszka Salezego Potockiego krajczego wielkiego koronnego, starosty bełskiego i hrubieszowskiego remanifestuje przeciwko Danielowi Januszewiczowi syndykowi chełmskiemu i Wulfowi Habelowiczowi poborcy podatkowemu chełmskiemu a zarazem starszym ziemskim chełmskim względem niewypłacenia mu asygnacji skarbowej (wystawionej w Warszawie 18 X 1748) na kwotę 327 złp i 6 gr na podstawie dyspartymentu starszych ziemskich chełmskich w oczekiwanej przez niego monecie. Zamiast tego Żydzi wypłacili mu 18 czerwonych węgierskich (przeliczając je po 18 złp), 14 złp i 3 gr w monecie srebrnej składając do depozytu urzędu grodzkiego chełmskiego. Co więcej nie zaspokoili go względem wypłacenia mu pensji deputackiej służącej na pokrycie jego utrzymania wraz koniem i wnieśli niesłuszną manifestację. W związku z tym Danielowi Januszewicz i Wolf Habelowicz odebrali z depozytu urzędu grodzkiego chełmskiego złożoną przez siebie dnia wczorajszego sumę 327 złp i 6 gr i otrzymali pokwitowanie.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 146, s. 163v-164v",Latin,18.04.1749,Chełm,"Belz (Bełz), Chełm (Chelm), Hrubieszow (Hrubieszów), Latyczów, Warsaw (Warszawa)","Daniel Januszewicz, Potocki Franciszek Salezy, Russyan Józef, Wulf Habelowicz",,"asygnacja, chorągiew pancerna, dyspartyment (taryfa), manifestacja, ziemstwo chełmsko-bełskie"
Pozew do trybunału radomskiego dla starszych ziemskich chełmsko-bełskich o niezapłacenie zasądzonej sumy,"Deodat Pawłowski i Józef Samuel podczaszy bracławski, towarzysze chorągwi pancernej wojewody bełskiego
[Antoniego Michała] Potockiego pozywają do trybunału skarbowego w Radomiu obecnych i byłych starszych ziemskich chełmsko-bełskich Moszka Rabinowicza z Chełma, Abrama rabina krystynopolskiego (czerwonogrodzkiego), Elo Haszkielowicza z Bełza, Froima z Tyszowiec, Ejzyka rabina biłgorajskiego, Zelka Herszowicza, Moszka Józefowicza, Hejzyka rabina wodzisławskiego, Hejzyka Józefowicza, Elka Rezniszecha w związku z niezastosowaniem się przez nich do dekretu i niedostarczeniem do grodu bełskiego na dzień 30 IX 1749 r. żądanej sumy, a także w związku ze złożoną przeciw nim manifestacją oraz dekretem trybunału radomskiego z 10 VI 1749 r. względem niezrealizowania asygnacji skarbowej na sumę 1078 złp i 29 gr wraz z prowizją oraz wyrównaniem poniesionych strat.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 147, s. 228v-229v",Latin,24.04.1750,Radom,"Belz (Bełz), Bilgoraj (Biłgoraj), Chełm (Chelm), Czerwonogród (Krystynopol), Radom, Tyszowce, Wodzisław","Abram, Ejzyk, Elko Rezniszech, Elo Haszkielowicz, Froim, Hejzyk Józefowicz, Hejzyk, Moszek Józefowicz, Moszek Rabinowicz, Pawłowski Deodat, Potocki Antoni Michał, Samuel Józef, Zelko Herszowicz",,"asygnacja, egzekucja dekretu, pozew, trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
List Jakuba Pejsachowicza do pisarzy skarbu koronnego,"Józef Pejsachowicz kupiec dubieński, wybrany przez Żydów województwa wołyńskiego do odwiezienia dyspartymentów do Grodna pisze, że w związku z niedojściem do skutku sejmu odsyła dyspartymenty do Warszawy, do pisarzy skarbu koronnego przez Jakuba syndyka.",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 39","Hebrew, Polish",12.09.1729,Radzyń Podlaski,"Dubno, Grodno, Radzyń Podlaski, Warsaw (Warszawa)","Jakub, Józef Pejsachowicz",,"dyspartyment (taryfa), ziemstwo wołyńskie"
Lawsuit to the castle court office of Stężyca for the land elders of Lublin concerning an unpaid wiederkauf rent by the kahal of Kozienice,"The Benedictine convent from Sieciechów sues Józef Aleksandrowicz, a rabbi from Opole, Jakub Abramowicz, a rabbi from Lubartów, Lewek Szmulowicz from Kurów, Jonas Percowicz from Lubartów, Berek Abramowicz from Kraśnik and Szloma Chaimowicz from Zwoleń, the land elders of Lublin, to the castle court office of the town of Stężyca, for not receiving the annual rent (7%) from a wiedrkauf for the sum of 4,000 zlotys, recorded in the castle court records of the town of Stężyca on 30th September 1754, to the punctual payment of which – on the feast of Michał Archangel (29th September) – the land elders had obliged the kahal in Kozienice.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 340, s. 314r-315v, APL, CLRMO 342, s. 244rv",Latin,17.02.1757,Stężyca,"Kozienice, Krasnik, Kurów, Lubartow, Opole Lubelskie, Stężyca, Zwoleń","Berek Abramowicz, Grabieński Wojciech, Jakub Abramowicz, Jona Perciowicz, Józef Senderowicz, Lewek Szmulowicz, Szlama Chaimowicz","Kopia pozwu doręczona dnia wczorajszego [22 II 1757] do domu Żyda Lewka Szmujłowicza w Kurowie, do jego rąk. Starostą stężyckim był wówczas Wojciech Grabieński właściciel Czudca.","pozew, wyderkaf, zadłużenie (długi), ziemstwo lubelskie (województwo)"
Pozew do trybunału radomskiego dla starszych ziemskich chełmsko-bełskich oraz chełmskich względem ułożenia niesprawiedliwego dyspartymentu,"Franciszek Mycielski cześnik horodelski, towarzysz chorągwi pancernej Antoniego Michała Potockiego wojewody bełskiego a zarazem deputat do poboru pogłównego pozywa do trybunału skarbowego radomskiego Ejzyka rabina biłgorajskiego, Zelka Erszowicza, Moszka Józefowicza starszych ziemskich chełmsko-bełskich a także cały kahał chełmski, w związku ze swoją wcześniejszą manifestacją o to, że podali w niedawnym dyspartymencie wsie i miasteczka, które nie chciały zapłacić żądanego podatku i tym samym naraziły deputata na szkody.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 147, s. 124rv",Latin,02.03.1750,Radom,"Belz (Bełz), Chełm (Chelm), Radom","Ejzyk, Moszek Józefowicz, Mycielski Franciszek, Potocki Antoni Michał, Zelko Erszowicz",http://www.ziemstwa.judaistyka.uj.edu.pl/wyszukiwarka?p_p_id=56_INSTANCE_Df4E&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&groupId=65923918&articleId=138175836&widok=ogloszenie&search_key=content_pl_PL&search_value=Potocki%20AND%20Antoni%20AND%20Micha%C5%82,"dyspartyment (taryfa), pozew, trybunał skarbowy radomski, ziemstwo chełmsko-bełskie"
Dekret trybunału skarbowego radomskiego w sprawie Żydów kryłowskich,"Oblata dekretu trybunału skarbowego radomskiego pomiędzy Michałem Grochowskim sędzią ziemskim bracławskim i gminą kryłowską a chorągwią pancerną Rzewuskiego i starszymi chełmskimi w sprawie nadmiernego obciążenia pogłównym żydowskim gminy kryłowskiej przez Żydów chełmskich wbrew postanowieniom dyspozycji podskarbiego koronnego Karola Odrowąża Sedlnickiego (Warszawa 11 XI 1748). Sąd nakazał, aby zgodnie z dyspozycją podskarbiego starsi chełmscy nie nakładali większej kwoty niż 300 złp na gminę kryłowską (zniszczoną w pożarze), a skarb koronny, aby nie przyjmował dyspartymentu, gdyby kwota pogłównego żydowskiego włożona na Kryłów była większa.",Central State Historical Archives of Ukraine in Lviv,Belz castle court files (Księgi grodzkie bełskie),"CGIA Lwów, Fond 1, op. 1, sp. 345, s. 1784-1786",Latin,12.06.1751,Radom,"Belz (Bełz), Chełm (Chelm), Kryłów, Radom","Grocholski Michał, Herszko Rudy, Liberski Stanisław, Rzewuski, Sedlnicki Karol Odrowąż, Turczynowicz Antoni",Dekret oblatowany w aktach grodzkich bełskich 13 VIII 1751 r. przez ur. Stanisława Liberskiego.,"dekret (wyrok), pogłówne, trybunał skarbowy radomski"
Libertacja podskarbiego Sedlnickiego dla Żydów z Kryłowa,"Karol Odrowąż Sedlnicki podskarbi wielki koronny w związku z pożarem, który nawiedził gminę w Kryłowie położoną w województwie  bełskim nakazuje kahałowi chełmskiemu, jako zwierzchniemu, obniżenie Żydom kryłowskim stawki podatku pogłównego (z 700 złp rocznie do 300 złp rocznie). Obniżona stawka będzie obowiązywała począwszy od 1749 r. przez kolejne 3 lata, co umożliwi miejscowym Żydom odbudowę ze zniszczeń.",The State Archive in Lublin,Chelm castle court files (Księgi grodzkie chełmskie),"APL, KGCH 147, s. 50r",Polish,11.11.1748,Warszawa,"Belz (Bełz), Chełm (Chelm), Kryłów, Warsaw (Warszawa)",Sedlnicki Karol Odrowąż,,"libertacja (zwolnienie), pogłówne, pożar (konflagrata), ziemstwo chełmsko-bełskie"
Ordynans podskarbiego F.M.Ossolińskiego do wierników koronnych w sprawie Węgrowa,"Podskarbi koronny Franciszek Maksymilan Ossoliński nakazuje pisarzom generalnym Żydów koronnych (wiernikom Żydów koronnych), aby na następnym zjeździe, przy ukladaniu dyspartymentu na rok 1734, udzielili ulgi zrujnowanemu kahałowi w Węgrowi w wysokości 900 złp. Pisarze nie uwzględnili wcześniejszego ordynansu podskarbiego, stąd ponowny ordynans.",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 31",Polish,06.07.1733,Warszawa,"Warsaw (Warszawa), Węgrów",Ossoliński Franciszek Maksymilian,"Odpis Raphaela Mahlera z AGAD [oryginał zniszczony w II wojnie światowej] na podstawie ASK, rkps 2, k. 324.","libertacja (zwolnienie), uniwersał"
Manifestacja deputata chorągwi przeciw Żydom kołomyjskim,"Zygmunt Żerebito towarzysz chorągwi pancernej stolnika kijowskiego manifestuje przeciwko Żydom z Kołomyi dóbr Potockiego starosty halickiego w sprawie niewypłacenia sumy 630 złp zgodnie z ich asekuracją. Żerebito jako deputat choragwi próbował zrealizować asygnację wystawioną 15 X 1725 r. w Warszawie na pogłówne żydowskie, ale Żydzi kołomyjscy wystawili mu jedynie 20 VIII 1726 r. asekurację, iż wypłacą mu należną sumę 11 XI tegoż roku.",Central State Historical Archives of Ukraine in Kyiv,Zhytomyr castle court files (Księgi grodzkie żytomierskie),"CGIA Kijów, Fond 11, op. 1, sp. 26, s. 424v, 425r",Polish,27.01.1727,Żytomierz,"Kolomyia (Ukraine), Zhytomyr",Żerebito Zygmunt,,"asygnacja, manifestacja"
Universal by Paweł Karol Sanguszko to the Jews from his Volhynian and Ukrainian estates,"Due to numerous complaints about the burdening of the Jews from his Volhynian and Ukrainian estates with taxes, Sanguszko orders the elders of the Jews from Ostróg to convene an assembly which must be attended by the representatives of all kahals and sub-kahals from his estates, belonging to the jurisdiction of the kahal of Ostróg and together they should improve the tax tariffs; also the claims of the Jews from Piki are to be settled during this assembly.",The National Archives in Krakow,Archive of Sanguszko family,"ANKr, ASang. 441 t. 2, s. 153, 154",Polish,23.03.1723,Dubno,"Ostroh (Ostróg), Pikiv (Ukraine), Volhynia",Sanguszko Paweł Karol,,"dyspartyment (taryfa), pogłówne"
List Józefa Aleksandrowicza rabina kozienickiego do Kicińskiego pisarza skarbu koronnego,"Józef Aleksandrowicz rabin kozienicki, starszy ziemski lubelski prosi [Waleriana Michała] Kicińskiego najwyższego pisarza skarbu koronnego o przyjęcie dyspartymentu ziemstwa lubelskiego, zapewniając go, że został rzetelnie ułożony. Jednocześnie przeprasza, że wysyła go przez posłańca, a nie przywozi go osobiście.",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 61",Polish,29.09.1737,Kozienice,"Kozienice, Warsaw (Warszawa)","Józef Aleksandrowicz, Kiciński Walerian Michał",,"dyspartyment (taryfa), korespondencja, ziemstwo lubelskie (województwo)"
Testimony by the rabbi of Tykocin,The rabbi of Tykocin confirms that the Tykocin elders have attempted to convince the elders of Knyszyn do appear at the assembly in Przeworsk to settle the dispute between them.,The Central Archives of Historical Records in Warsaw,The Kapicjana Collection (Kapicjana),"AGAD, Kapiciana 27, s. 233-234",Polish,16.02.1726,Tykocin,"Knyszyn, Przeworsk, Tykocin","Izral Józwowicz, Majer Lewitan","Ekscerpt z ksiąg grodzkich brańskich. Oblatował wraz z trzema innymi dokumentami w dn. 23 VIII 1726 r. Judka Abrahamowicz arendarz z Bruszewa, mieszkaniec Tykocina",świadectwo (oświadczenie)
Ugoda w sprawie podatków gminy w Knyszynie,"Pisarze generalni Żydów koronnych (wiernicy) w związku ze skargami Żydów knyszyńskich ich nadmierne obciążenie przez kahał tykociński decydują, że przez kolejne dwa lata (1726 i 1727) kahał tykociński nie ma nakładać więcej podatku  na Żydów knyszyńskich (których wszystkich zarówno w miasteczku, jak i wsiach było tylko 36) niż 600 złp, a  po upływie tych dwóch lat Żydzi knyszyńscy powinni zawrzeć ugodę z tykocińskimi. Podpisani: Jehoasz rabin siemiatycki; Heszel z Chełmiu [Chełmu]; Marek z Brodów; Icek z Wodisława [Wodzisławia].",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 37",Polish,29.06.1725,Radom,"Brody, Chełm (Chelm), Knyszyn, Radom, Siemiatycze, Tykocin, Wodzisław","Heszel, Icek, Jehoasz, Marek","Odpis Raphaela Mahlera z AGAD [oryginał zniszczony w II wojnie światowej] na podstawie ASK, rkps 23, k. 55.",ugoda
List pisarza skarbu koronnego do starszych kahału ostrogskiego,"Prawdopodobnie pisarz skarbu koronnego ostrzega starszych ostrogskich, że ich dyspartymenty nie zostaną zaakceptowane (przyjęte) przez skarb koronny jeśli nadal będą umieszczać nieznane nikomu miejscowości, tak jak zrobili to w dyspartymencie za rok 1733 i chorągiew [Adama] Steckiego łowczego kijowskiego straciła kilkaset złp. Poleca pomóc oddawcom tego listu (deputatom tejże chorągwi), aby bez problemu odebrali swoją należność.",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 35",Polish,27.10.1733,Warszawa,"Ostroh (Ostróg), Warsaw (Warszawa)",Stecki Adam,,"dyspartyment (taryfa), korespondencja, ziemstwo wołyńskie"
"Letter by Karol Sedlnicki, Treasurer of the Crown, to Michał Kazimierz Radziwiłł","The Treasurer vouches for Pinchas, the rabbi of Świerz, a trustee of the Jews, emphasizing the services he rendered to Michał Kazimierz Radzwiłł.",The Central Archives of Historical Records in Warsaw,Radziwills' Warsaw Archive,"AGAD, AR V, 14144, p. 31",Polish,05.09.1758,Konstantynów,"Konstantynów, Swirz, Zhovkva (Ukraine)","Pinchas Abramowicz, Radziwiłł Michał Kazimierz, Sedlnicki Karol Odrowąż",,"korespondencja, ziemstwo ruskie"
Uniwersał Hermolausa Ligęzy podskarbiego koronnego w sprawie pogłównego żydowskiego,"Podskarbi koronny Hermolaus Ligęza obwieszcza, że Żydzi koronni są zwolnieni z wszelkich podatków zgodnie z decyzją sejmu warszawskiego w zamian za sumę 62 100 złp, którą mają przywieźć do skarbu koronnego.",Central State Historical Archives of Ukraine in Kyiv,Lutsk castle court files (Księgi grodzkie łuckie),"CGIA Kijów, Fond 25, op. 1, sp. 149, s. 965rv",Polish,20.03.1626,Warszawa,"Lutsk, Warsaw (Warszawa)",Ligęza Hermolaus,Oblatowany w księgach grodzkich łuckich 3 VII 1626 r.,"pogłówne, uniwersał"
Manifestacja w imieniu starosty korsuńskiego przeciw Żydom ostrogskim,"Józef Hryniewicz manifestuje w imieniu Józefa Aleksandra Jabłonowskiego starosty buskiego i korsuńskiego przeciw starszym Żydów ostrogskich, którzy pomimo wiedzy, że w Korsuniu [obecnie Korsuń Szewczenkowski] nie ma kahału a jedynie pojedynczy Żyd (należący do innego kahału i tam płacący podatki) podawali Korsuń w swoich podziałach (delatach) pogłównego żydowskiego dla chorągwi łowczego kijowskiego za lata 1735 i 1736. Żydzi w Korsuniu i okolicach zostali zamordowani w napadzie 2 III 1734 r. hajdamaków (zginęło 27 osób), a pozostali się rozproszyli.",Central State Historical Archives of Ukraine in Kyiv,Zhytomyr castle court files (Księgi grodzkie żytomierskie),"CGIA Kijów, Fond 11, op. 1, sp. 32, s. 904v-905v",Polish,12.06.1737,Żytomierz,"Korsun-Shevchenkivskyi, Ostroh (Ostróg), Zhytomyr","Hryniewicz Józef, Jabłonowski Józef Aleksander",,manifestacja
Ordynans podskarbiego koronnego do starszych ziemskich lubelskich w sprawie Kalinowszczyzny,"Podskarbi wielki koronny Franciszek Maksymilian Ossoliński nakazuje starszym ziemskim lubelskim zawarcie ugody z Żydami przedmieścia lubelskiego Kalinowszczyzny alias Słomianego Rynku, grożąc w razie nieposłuszeństwa surowy śledztwem i karanie za uchwalanie niesprawiedliwych dyspartymentów i działanie na szkodę dóbr szlacheckich.",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 29",Polish,17.05.1733,Warszawa,"Lublin, Warsaw (Warszawa)",Ossoliński Franciszek Maksymilian,"Odpis Raphaela Mahlera z AGAD [oryginał zniszczony w II wojnie światowej] na podstawie ASK, rkps 2, k.324.","uniwersał, ziemstwo lubelskie (województwo)"
Ordynans podskarbiego koronnego do starszych ziemskich chełmskich i bełskich w sprawie Maciejowa,"Podskarbi wielki koronny Franciszek Maksymilian Ossoliński poleca (przypominając swój wczesniejszy, niewykonany przez nich ordynans) starszym ziemskim chełmskim i bełskim, aby w swoim przyszłym dyspartymencie nie obciążali gminy w Maciejowie [ob. Łuków, Ukraina] kwotą wiekszą niż 600 złp. Podskarbi uzasadniał wydanie tego ordynansu bezkrólewiem i w związku z tym niemożnością rozsądzenia pretensji w trybunale skarbowym przez dziedzica kasztelana chełmskiego Pawła Michała Miączyńskiego (kuzyna Ossolińskiego).",Diaspora Research Center Tel Aviv,Raphael Mahler collection P-66,"Diaspora Research Center, P-66, 927, 157-2, s. 27",Polish,02.05.1733,Warszawa,"Belz (Bełz), Chełm (Chelm), Lukiv (Maciejow)","Miączyński Piotr Michał, Ossoliński Franciszek Maksymilian","Odpis Raphaela Mahlera z AGAD [oryginał zniszczony w II wojnie światowej] na podstawie ASK, rkps 2, k.324.","uniwersał, ziemstwo chełmsko-bełskie"
Protestation of the cavalry unit of the Starost of Stężyca against the Jews of the land of Przemyśl,"Protestation entered into the files of Przemyśl by Kazimierz Sokołowski, the Sword-bearer of Przedecz, companion of the Hussar cavalry unit of the Starost of Stężyca [Karol Tarło], a deputy to collect the hiberna on behalf of his and Felicjan Myszkowski, against the seniors of the land of Przemyśl: Michel from Przemyśl, Oszyja from Jarosław, Major Zelmanowicz from Dobromil, Lewko Zapropost, a rabbi from Przeworsk, Icek and Wolf from Kańczuga, and the Jews from Medyka and Sośnica, concerning their failure to perform the decree of the tax tribunal in Radom from 9th June 1742; the Jews living in Medyka were to pay 330, and those from Sośnica – 120 złp of arrears, together with the relation of the publication of the penalty of eternal exile for opposing the decree.",Central State Historical Archives of Ukraine in Lviv,Przemysl castle court files (Księgi grodzkie przemyskie),"CGIA Lwów, Fond 13 [Sąd grodzki przemyski ], op.1,sp. 559, s. 199-201",Latin,24.09.1742,Przemyśl,"Dobromyl, Jarosław, Kańczuga, Medyka, Przemyśl, Przeworsk, Radom, Stężyca","Lewko Zapropost, Major Zelmanowicz, Myszkowski Felicjan, Oszyja rabin jarosławski, Sokołowski Kazimierz, Tarło Karol",,"manifestacja, trybunał skarbowy radomski, ziemstwo przemyskie (okręg)"
